hart,41,P
storari,15,P
padelli,1,P
handanovic,71,P
skorupski,1,P
carrizo,1,P
scezny,61,P
berisha,1,P
allison,2,P
marchetti,12,P
consigli,26,P
pegolo,1,P
reina,72,P
perin,13,P
karnezis,1,P
donnarumma,63,P
bizzarri,2,P
sportiello,2,P
sorrentino,11,P
tatarusanu,31,P
viviano,14,P
buffon,106,P
neto,1,P
posavec,1,P
dani alves,44,D
edenilson,6,D
adnan,1,D
miranda,12,D
tomovic,4,D
pasqual,8,D
zampano,2,D
lichtsteiner,5,D
florenzi,50,D
maxi olivera,1,D
milic,3,D
dodo,1,D
masina,11,D
j jesus,1,D
dainelli,1,D
burdisso,1,D
bonucci,38,D
conti,1,D
koulibaly,15,D
hisaj,15,D
gobbi,1,D
albiol,3,D
izzo,3,D
laurini,1,D
alex sandro,42,D
g rodriguez,31,D
barzagli,11,D
ghoulam,15,D
calabria,1,D
zappacosta,1,D
abate,4,D
evra,3,D
manolas,26,D
bruno peres,31,D
acerbi,23,D
de silvestri,8,D
cannavaro,3,D
ansaldi,3,D
drame,1,D
cacciatore,1,D
bastos,8,D
widmer,4,D
vermaalen,10,D
isla,3,D
torosidis,1,D
de sciglio,2,D
astori,4,D
zukanovic,1,D
martella,3,D
benatia,16,D
romagnoli,10,D
de vrij,11,D
peluso,3,D
pavlovic,3,D
alesaami,1,D
chiellini,26,D
murillo,6,D
basta,3,D
g gomez,2,D
b alves,3,D
danilo,1,D
castan,1,D
cesar,1,D
gastaldello,1,D
bonaventura,53,C
C tello,24,C
diamanti,18,C
badelj,1,C
d’alessandro,7,C
joao pedro,1,C
verre,1,C
ljaic,26,C
kucka,7,C
naingollan,85,C
duncan,14,C
jorginho,11,C
laxalt,9,C
baselli,22,C
brozovic,3,C
veloso,2,C
hamsik,43,C
pjanic,59,C
saponara,36,C
paredes,13,C
acquilani,1,C
vecino,1,C
kessiè,1,C
de rossi,1,C
mertens,78,C
kedhira,38,C
bernardeschi,21,C
padoin,5,C
marchisio,4,C
N rigoni,1,C
lulic,1,C
hiljemark,2,C
banega,26,C
biglia,23,C
suso,53,C
strootman,40,C
joao mario,20,C
verdi,3,C
asamoah,1,C
benali,1,C
andeson,28,C
candreva,51,C
birsa,25,C
ntcham,10,C
castro,2,C
allan,7,C
josè mauri,1,C
valdifiori,1,C
perotti,94,C
magnanelli,8,C
rincon,8,C
hetemaj,4,C
politano,8,C
dzemaili,3,C
praet,10,C
de paul,21,C
perisic,41,C
borja,36,C
g sanchez,5,C
cuadrado,21,C
gomez,28,C
parolo,13,C
iago ,13,C
memusahj,1,C
icardi,200,A
paloschi,41,A
destro,59,A
gabrel barbosa,10,A
lapadula,6,A
meggiorni,13,A
dybala,220,A
muriel,54,A
borriello,50,A
eder,18,A
matri,7,A
penaranda,1,A
el sharawi,37,A
kalinic,83,A
salah,81,A
callejon,86,A
sau,14,A
sadiq,3,A
higuain,203,A
quagliarella,19,A
gabbiadini,25,A
gilardino,6,A
pjaca,7,A
totti,1,A
bacca,145,A
berardi,100,A
pucciarelli,5,A
insigne,45,A
farias,2,A
keita,1,A
duvan zapata,37,A
pavoletti,111,A
belotti,115,A
defrel,26,A
mandzukic,40,A
falcinelli,3,A
immobile,106,A
dzeko,106,A
ilicic,46,A
ocampos,22,A
palladino,14,A
nesterowsky,1,A
milik,170,A
niang,55,A
therau,19,A
caprari,33,A
maccarone,14,A
inglese,1,A
